shelfname|interface|portoperationalstate|protocol|info1
TAR2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
TAR2MU|Eth-Trunk1|up|down|LAG PTN 18TRT01_G13/1-G18/1
TAR2MU|Eth-Trunk1.101|up|up|HSI GMO21D 1/2 ADSL -  Linea 13003712
TAR2MU|Eth-Trunk1.103|up|up|HSI GMO21D 2/2 ADSL - Linea 13003712
TAR2MU|Eth-Trunk1.3617|up|down|HUAWEI, Eth-Trunk1.3617 Interface
TAR2MU|Eth-Trunk1.10150|up|up|HUAWEI, Eth-Trunk1.10150 Interface
TAR2MU|Eth-Trunk1.11113|up|up|DSLAM GMO11D 1/2 - ADSL -  9703191
TAR2MU|Eth-Trunk1.11120|up|up|DSLAM GMO11D 2/2 - ADSL -  9703191
TAR2MU|Eth-Trunk1.11298|up|up|ADSL AGAG01 a BGB1MB  - CONEXION1/2 - 13000091
TAR2MU|Eth-Trunk1.12352|up|up|TIP - RED INTERCABLE DIGITAL SA -REF: 615375 - LINEA: 2784400 - ACC: 5RHYR01/05/GE_3
TAR2MU|Eth-Trunk1.12693|up|up|[RTP][SIGN] GMOG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.12694|up|up|[GESTION][IPMB] GMOG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.12695|up|up|[GESTION][PVM] GMOG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.12983|up|up|[RTP][SIGN] AGAG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.12984|up|up|[GESTION][IPMB] AGAG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.12985|up|up|[GESTION][PVM] AGAG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.13620|up|up|ADSL AGAG01 a BGN1MB - CONEXION 2/2 - 13007224
TAR2MU|Eth-Trunk1.23150|up|up|VDSLCORP SLMM01 -- SALVADOR MAZZASALTA -- Lin:13002194
TAR2MU|Eth-Trunk1.311013|up|up|[RTP][SIGN] CVEG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.311014|up|up|[GESTION][IPMB] CVEG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.311015|up|up|[GESTION][PVM] CVEG01 HUA 5000 [NGN]
TAR2MU|Eth-Trunk1.336162|up|up|SIGN. MA5603 78YG01 Barrio Esperansa SALTA L13002794
TAR2MU|Eth-Trunk1.336163|up|up|RTP MA5603 78YG01 Barrio Esperansa SALTA L13002794
TAR2MU|Eth-Trunk1.336164|up|up|GESTION MA5603 78YG01 Barrio Esperansa SALTA L13002794
TAR2MU|Eth-Trunk1.336182|up|up|SIGN. - SANTA VICTORIA -SVSG01- Linea 13003341
TAR2MU|Eth-Trunk1.336183|up|up|RTP - SANTA VICTORIA -SVSG01- Linea 13003341
TAR2MU|Eth-Trunk1.336184|up|up|GESTION  - SANTA VICTORIA -SVSG01- Linea 13003341
TAR2MU|Eth-Trunk1.1113365|up|down|HUAWEI, Eth-Trunk1.1113365 Interface
TAR2MU|Eth-Trunk1.9161000|up|up|eNODOB - GENERAL_MOSCONI_CENTRAL- TAR2MU 1/13/1 - A23-S103 - (1)(505313) - S1
TAR2MU|Eth-Trunk1.9161001|up|up|eNODOB - GENERAL_MOSCONI_CENTRAL- TAR2MU 1/13/1 - A23-S103 - (2)(505313) - S1MME
TAR2MU|Eth-Trunk1.9161002|up|up|eNODOB - GENERAL_MOSCONI_CENTRAL- TAR2MU 1/13/1 - A23-S103 - (3)(505313) - GOMRAN
