shelfname|interface|portoperationalstate|protocol|info1
CAS1MB|BE1|up|up|[HRP] CAS1MB 1 [L3] [HSI]
CAS1MB|BE1.1|up|up|DSLAM PBA11D
CAS1MB|BE1.230|up|down| 
CAS1MB|BE1.238|up|up|DSLAM PBA21D ADTRAM Core
CAS1MB|BE1.11001001|up|up|GESTION 1UQ11C ECIV41
CAS1MB|BE1.11001501|up|up|GESTION REM31D ZTE9210
CAS1MB|BE1.11005901|up|up|GESTION REMM01 ALU7302
CAS1MB|BE1.11006511|up|up| 
CAS1MB|BE1.11011301|up|up|GESTION 0WO11C ECIV41 (falta IP x VTV)
CAS1MB|BE1.11011401|up|up|GESTION 0WQ11C ECIV41
CAS1MB|BE1.12001001|up|up|[TOIP] 1UQ11C ECI V41 [VDS2]
CAS1MB|BE1.12005901|up|up|[TOIP] REMM01 ALU 7302 [VDS2]
CAS1MB|BE1.12011301|up|up|[TOIP] 0WO11C ECI V41 [VDS2]
CAS1MB|BE1.12011401|up|up|[TOIP] 0WQ11C ECI V41 [VDS2]
CAS1MB|BE1.13000201|up|up|[DATOS] JLS51D  HUA 5600 [ADS2]
CAS1MB|BE1.13001001|up|up|DSLAM 1UQ11C ECIV41
CAS1MB|BE1.13001501|up|up|[DATOS] REM31D  ZTE 9210 [ADS2]
CAS1MB|BE1.13005901|up|up|[DATOS] REMM01  ALC 7302 [VDS2]
CAS1MB|BE1.13006511|up|up| 
CAS1MB|BE1.13007201|up|up|[DATOS] 0RE11C  ECI HIFS [VDS2]
CAS1MB|BE1.13011301|up|up|DSLAM 0WO11C ECIV41
CAS1MB|BE1.13011401|up|up|DSLAM 0WQ11C ECIV41
CAS1MB|BE1.1101004401|up|up|GESTION BLG41D HW5100
CAS1MB|BE1.1199076801|admin-down|admin-down|GESTION CASB1D ZTE9800
CAS1MB|BE1.1301004401|up|up|DSLAM BLG41D HW5100
CAS1MB|BE1.1301004402|up|up|DSLAM BLG42D HW5100
CAS1MB|BE1.1399076801|admin-down|admin-down|[DATOS] CASB1D  ZTE 9800 [ADS2]
CAS1MB|BE2|up|up|[HRP] CAS1MB 2 [L3] [HSI]
CAS1MB|BE2.11000701|up|up|GESTION 1OT11C ECIV41
CAS1MB|BE2.11002301|up|up|GESTION CHU21D HW5100
CAS1MB|BE2.11006001|up|up|GESTION ELP21D HW5100
CAS1MB|BE2.11006201|up|up|GESTION ER510D ADTRAN
CAS1MB|BE2.11008701|up|down| 
CAS1MB|BE2.12000701|up|up|[TOIP] 1OT11C ECI V41 [VDS2]
CAS1MB|BE2.12008701|up|down| 
CAS1MB|BE2.13000701|up|up|DSLAM 1OT11C ECIV41
CAS1MB|BE2.13000801|up|up|[DATOS] 1OU11C  ECI HIFS [VDS2]
CAS1MB|BE2.13002301|up|up|[DATOS] CHU21D  HUA 5100 [ADSL]
CAS1MB|BE2.13006001|up|up|DSLAM ELP21D HW5100
CAS1MB|BE2.13006201|up|up|DSLAM ER510D ADTRAN
CAS1MB|BE2.13006406|up|up|DSLAM ELP35D ZTE 9000
CAS1MB|BE2.21006301|up|down| 
CAS1MB|BE2.1199001601|up|up|GESTION VBO31D ZTE9000
CAS1MB|BE2.1299001601|up|up|[TOIP] VBO31D ZTE 9000 [VDS2]
CAS1MB|BE2.1399001601|up|up|[DATOS] VBO31D  ZTE 9210 [ADS2]
CAS1MB|BE3|up|up|[HRP] CAS1MB 3 [L3] [HSI]
CAS1MB|BE3.11001001|up|down| 
CAS1MB|BE3.11002301|up|up|GESTION V1YC01 HW5616
CAS1MB|BE3.11002901|up|up|GESTION 7ZVC01 MA5603T
CAS1MB|BE3.11003001|up|up|GESTION 7ZZC01 MA5603T
CAS1MB|BE3.11003201|up|up|GESTION 801C01 MA5603T
CAS1MB|BE3.11003301|up|up|GESTION 7ZWC01 HUAWEI MA5603T
CAS1MB|BE3.12002301|up|up|[TOIP] V1YC01 HUA 5616 [VDS2]
CAS1MB|BE3.12002901|up|up|[TOIP] 7ZVC01 HUA MA5603T [VDS2]
CAS1MB|BE3.12003001|up|up|[TOIP] 7ZZC01 HUA MA5603T [VDS2]
CAS1MB|BE3.12003201|up|up|[TOIP] 801C01 HUA MA5603T [VDS2]
CAS1MB|BE3.12003301|up|up|[TOIP] 7ZWC01 HUA MA5603T [VDS2]
CAS1MB|BE3.13000101|up|up|[DATOS] CHUA1D  ZTE 9800 [ADS2]
CAS1MB|BE3.13000301|up|up|[DATOS] CHU81D  ZTE 9800 [ADS2]
CAS1MB|BE3.13000401|up|up|[DATOS] CHU51D  HUA 5600 [ADS2]
CAS1MB|BE3.13001101|up|up|[DATOS] 95HC01  HUA 5603_T [VDS2]
CAS1MB|BE3.13001901|up|up|[DATOS] 7Z5C01  HUA 5603_T [VDS2]
CAS1MB|BE3.13002301|up|up|DSLAM V1YC01 HW5616
CAS1MB|BE3.13002901|up|up|[DATOS] 7ZVC01  HUA 5603_T [VDS2]
CAS1MB|BE3.13003001|up|up|[DATOS] 7ZZC01  HUA 5603_T [VDS2]
CAS1MB|BE3.13003201|up|up|[DATOS] 801C01  HUA 5603_T [VDS2]
CAS1MB|BE3.13003301|up|up|[DATOS] 7ZWC01  HUA 5603_T [VDS2]
CAS1MB|BE3.13006201|up|up|[DATOS] 95IC01  HUA 5603_T [VDS2]
CAS1MB|BE100|up|up| 
