shelfname|interface|portoperationalstate|protocol|info1
VLU3MU|BE1|up|up|[ACCESO HSI][BE] VLU31D 9701314
VLU3MU|BE1.2101|up|up|[GESTION] VLU31D HUA 5100 [ADS2]
VLU3MU|BE1.4101|up|up|[DATOS] VLU31D HUA 5100 [ADS2][L3]
VLU3MU|BE2|up|up|[ACCESO HSI][BE] 1YP11C
VLU3MU|BE2.2101|up|up|[GESTION] 1YP11C ALU 7330 [VDS2]
VLU3MU|BE2.3101|up|up|[TOIP] 1YP11C ALU 7330 [VDS2]
VLU3MU|BE2.4101|up|up|[DATOS] 1YP11C ALU 7330 [VDS2][L3]
VLU3MU|BE2.4101.pppoe4851|up|up| 
VLU3MU|BE2.4101.pppoe5842|up|up| 
VLU3MU|BE2.4101.pppoe9045|up|up| 
VLU3MU|BE3|up|up|[ACCESO HSI][BE] VLU51D 9701284
VLU3MU|BE3.2101|up|up|[GESTION] VLU51D ZTE 9210 [ADS2]
VLU3MU|BE3.3101|up|up|[TOIP] VLU51D ZTE 9210 [ADS2]
VLU3MU|BE3.4101|up|up|[DATOS] VLU51D ZTE 9210 [ADS2][L3]
VLU3MU|BE4|up|up|[ACCESO HSI][BE] VLU61D 9701241
VLU3MU|BE4.2101|up|up|[GESTION] VLU61D ZTE 9210 [ADS2]
VLU3MU|BE4.3101|up|up|[TOIP] VLU61D ZTE 9210 [ADS2]
VLU3MU|BE4.4101|up|up|[DATOS] VLU61D ZTE 9210 [ADS2][L3]
VLU3MU|BE5|up|up|[ACCESO HSI][BE] 91H11C 
VLU3MU|BE5.2101|up|up|[GESTION] 91H11C ALU 7330 [VDS2]
VLU3MU|BE5.3101|up|up|[TOIP] 91H11C ALU 7330 [VDS2]
VLU3MU|BE5.4101|up|up|[DATOS] 91H11C ALU 7330 [VDS2][L3]
VLU3MU|BE5.4101.pppoe5357|up|up| 
VLU3MU|BE5.4101.pppoe5382|up|up| 
VLU3MU|BE5.4101.pppoe5856|up|up| 
VLU3MU|BE5.4101.pppoe6669|up|up| 
VLU3MU|BE5.4101.pppoe6807|up|up| 
VLU3MU|BE5.4101.pppoe6883|up|up| 
VLU3MU|BE5.4101.pppoe7313|up|up| 
VLU3MU|BE5.4101.pppoe7317|up|up| 
VLU3MU|BE5.4101.pppoe7740|up|up| 
VLU3MU|BE5.4101.pppoe7788|up|up| 
VLU3MU|BE5.4101.pppoe7822|up|up| 
VLU3MU|BE5.4101.pppoe7831|up|up| 
VLU3MU|BE5.4101.pppoe7894|up|up| 
VLU3MU|BE5.4101.pppoe8062|up|up| 
VLU3MU|BE5.4101.pppoe8085|up|up| 
VLU3MU|BE5.4101.pppoe8133|up|up| 
VLU3MU|BE5.4101.pppoe8155|up|up| 
VLU3MU|BE5.4101.pppoe8213|up|up| 
VLU3MU|BE5.4101.pppoe8418|up|up| 
VLU3MU|BE5.4101.pppoe8433|up|up| 
VLU3MU|BE5.4101.pppoe8473|up|up| 
VLU3MU|BE5.4101.pppoe8512|up|up| 
