shelfname|interface|portoperationalstate|protocol|info1
ARL2MU|BE1|up|up|[ACCESO HSI][BE] ARL21D
ARL2MU|BE1.2101|up|up|[GESTION] ARL21D H5600 [ADS2]
ARL2MU|BE1.3101|up|up|[TOIP] ARL21D HUA 5600 [ADS2]
ARL2MU|BE1.3648|up|up|VPN Head Quarter - MACRO - Ref:571396 Lin:2762377 Acc:ARL21D 0/14/0
ARL2MU|BE1.3649|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:572904 Lin:2762791 Acc:ARL21D 0/14/1
ARL2MU|BE1.3651|up|up|VPN Head Quarter - MACRO - Ref:270997 Lin:2724778 Acc:ARL21D 0/14/3
ARL2MU|BE1.3653|up|up|VPN Branch Office - MinSaludSalta - Ref:542584 Lin:2752993 Acc:ARL21D 0/14/5
ARL2MU|BE1.3840|up|up|VPN Head Quarter - MACRO - Ref:571396 Lin:2762377 - Gestion - Acc: ARL21D 0/14/0
ARL2MU|BE1.3843|up|up|VPN Head Quarter - MACRO - Ref:270997 Lin:2724778 - Gestion Xavi - Acc: ARL21D 0/14/3
ARL2MU|BE1.3855|up|up|IntegraLight - C.I.A.C.S.A. - Ref:584427 Lin:2769716 Acc:ARL21D 0/14/15
ARL2MU|BE1.4101|up|up|[DATOS] ARL21D H5600 [ADS2][L3]
ARL2MU|BE1.4101.pppoe3547|up|up| 
ARL2MU|BE1.4101.pppoe3551|up|up| 
ARL2MU|BE1.4101.pppoe3572|up|up| 
ARL2MU|BE1.4101.pppoe3574|up|up| 
ARL2MU|BE1.4101.pppoe3582|up|up| 
ARL2MU|BE1.4101.pppoe3587|up|up| 
ARL2MU|BE1.4101.pppoe3608|up|up| 
ARL2MU|BE1.4101.pppoe3632|up|up| 
ARL2MU|BE1.4101.pppoe3635|up|up| 
ARL2MU|BE1.4101.pppoe3651|up|up| 
ARL2MU|BE1.4101.pppoe3991|up|up| 
ARL2MU|BE1.4101.pppoe4104|up|up| 
ARL2MU|BE1.4101.pppoe4152|up|up| 
ARL2MU|BE1.4101.pppoe4277|up|up| 
ARL2MU|BE1.4101.pppoe4380|up|up| 
ARL2MU|BE1.4101.pppoe4414|up|up| 
ARL2MU|BE1.4101.pppoe4422|up|up| 
ARL2MU|BE1.4101.pppoe4447|up|up| 
ARL2MU|BE1.4101.pppoe4474|up|up| 
ARL2MU|BE1.4101.pppoe4476|up|up| 
ARL2MU|BE1.4101.pppoe4480|up|up| 
ARL2MU|BE1.4101.pppoe4514|up|up| 
ARL2MU|BE1.4101.pppoe4528|up|up| 
ARL2MU|BE1.4101.pppoe4536|up|up| 
ARL2MU|BE1.4101.pppoe4538|up|up| 
ARL2MU|BE1.4101.pppoe4569|up|up| 
ARL2MU|BE1.4101.pppoe4612|up|up| 
ARL2MU|BE1.4101.pppoe4756|up|up| 
