shelfname|interface|portoperationalstate|protocol|info1
YER2MU|BE1|up|up|[ACCESO HSI][BE] YER31D 
YER2MU|BE1.2101|up|up|[GESTION] YER31D ZTE 9210 [ADS2]
YER2MU|BE1.3101|up|up|[TOIP] YER31D ZTE 9210 [ADS2]
YER2MU|BE1.4101|up|up|[DATOS] YER31D ZTE 9210 [ADS2][L3]
YER2MU|BE2|up|up|[ACCESO HSI][BE] AYIG01 
YER2MU|BE2.3|up|up|[RTP] AYIG01 UA5000
YER2MU|BE2.4|up|up|[GESTION] IPMB AYIG01 UA5000
YER2MU|BE2.5|up|up|[GESTION] PVM AYIG01 UA5000
YER2MU|BE2.3101|up|up|[TOIP] AYIG01 HUA 5000 [ADS2]
YER2MU|BE2.3617|up|up|Ref:563120 Lin:2763742 La Piamontesa VPN Acc:AYIG01 0-9-1
YER2MU|BE2.3623|up|up|VPN SILVER Ref:780175 Lin:2855065 BCOSDE Acc:AYIG01 0-9-7
YER2MU|BE2.3808|admin-down|admin-down|INTEGRA LIGHT_YUBRIN EDUARDO_Ref.708371_Lin:2817023_Acc:AYIG01 0-9-0
YER2MU|BE2.3810|up|up|INTEGRA 4M_CENSYS_Ref.717499_Lin:2824678_Acc:AYIG01 0-9-2/3
YER2MU|BE2.3814|up|up|IntegraLight - LA PIAMONTESA DE AVERALDO GIAC OSA Y CIA.S.A. - Ref:628230 - Lin:2788070 Acc:AYIG01 0-9-6
YER2MU|BE2.3818|up|up|INTERNET EMPRESAS - CONTROL UNION NORTE - Ref.792755 Lin:2851693 Acc:AYIG01 0/9/10y11
YER2MU|BE2.4101|up|up|[DATOS] AYIG01 HUA 5000 [ADS2][L3]
YER2MU|BE3|up|up|[ACCESO HSI][BE] YER51D 
YER2MU|BE3.4|up|down|[ACCESO GHDSL] YER51D
YER2MU|BE3.2101|up|up|[GESTION] YER51D ZTE 9800 [ADS2]
YER2MU|BE3.3101|up|up|[TOIP] YER51D ZTE 9800 [ADS2]
YER2MU|BE3.3618|up|up|DDE IP- CHACOFF JULIO HERNAN - Referencia: 608667 Lin: 2781792 Acc: YER51D 1-1-17-3
YER2MU|BE3.3622|up|up|LDIP_TASA_BMACRO(5630938)YER51D-17-7y8
