shelfname|interface|portoperationalstate|protocol|info1
SUR2MU|BE1|up|up|[ACCESO HSI][BE] SUR11D HUA 5100 -  9701399
SUR2MU|BE1.2101|up|up|[GESTION] SUR11D HUA 5100 -  9701399 [ADS2]
SUR2MU|BE1.3101|up|down| 
SUR2MU|BE1.4101|up|up|[DATOS] SUR11D HUA 5100 -  9701399 [ADS2][L3]
SUR2MU|BE2|up|up|[ACCESO HSI][BE] SURN01 13005151
SUR2MU|BE2.6|up|up|IPTV SURN01 IGMP-PIM
SUR2MU|BE2.7|up|up|[DHCP] [IPTV] SURN01 HUA 5600T [GPON]
SUR2MU|BE2.11|up|up|[DATOS] SURN01 11 HUA5600T [GPON][L3]
SUR2MU|BE2.13|up|up|[DATOS] SURN01 13 HUA5600T [GPON][L3]
SUR2MU|BE2.14|up|up|[DATOS] SURN01 14 HUA5600T [GPON][L3]
SUR2MU|BE2.14.pppoe241|up|up| 
SUR2MU|BE2.14.pppoe3946|up|up| 
SUR2MU|BE2.14.pppoe4841|up|up| 
SUR2MU|BE2.14.pppoe6137|up|up| 
SUR2MU|BE2.14.pppoe6590|up|up| 
SUR2MU|BE2.14.pppoe7302|up|up| 
SUR2MU|BE2.14.pppoe7675|up|up| 
SUR2MU|BE2.14.pppoe8596|up|up| 
SUR2MU|BE2.14.pppoe14931|up|up| 
SUR2MU|BE2.14.pppoe17290|up|up| 
SUR2MU|BE2.14.pppoe18081|up|up| 
SUR2MU|BE2.14.pppoe18159|up|up| 
SUR2MU|BE2.14.pppoe18662|up|up| 
SUR2MU|BE2.14.pppoe18780|up|up| 
SUR2MU|BE2.14.pppoe18781|up|up| 
SUR2MU|BE2.14.pppoe18796|up|up| 
SUR2MU|BE2.14.pppoe18859|up|up| 
SUR2MU|BE2.14.pppoe19031|up|up| 
SUR2MU|BE2.14.pppoe19295|up|up| 
SUR2MU|BE2.14.pppoe19516|up|up| 
SUR2MU|BE2.14.pppoe19648|up|up| 
SUR2MU|BE2.14.pppoe19813|up|up| 
SUR2MU|BE2.14.pppoe19911|up|up| 
SUR2MU|BE2.14.pppoe20056|up|up| 
SUR2MU|BE2.14.pppoe20063|up|up| 
SUR2MU|BE2.14.pppoe20259|up|up| 
SUR2MU|BE2.14.pppoe20734|up|up| 
SUR2MU|BE2.14.pppoe20745|up|up| 
SUR2MU|BE2.14.pppoe20999|up|up| 
SUR2MU|BE2.14.pppoe21072|up|up| 
SUR2MU|BE2.14.pppoe21167|up|up| 
SUR2MU|BE2.14.pppoe21242|up|up| 
SUR2MU|BE2.14.pppoe21246|up|up| 
SUR2MU|BE2.14.pppoe21522|up|up| 
SUR2MU|BE2.14.pppoe21666|up|up| 
SUR2MU|BE2.14.pppoe21894|up|up| 
SUR2MU|BE2.14.pppoe22220|up|up| 
SUR2MU|BE2.14.pppoe22384|up|up| 
