shelfname|interface|portoperationalstate|protocol|info1
LAC2MU|BE1|up|up|[ACCESO HSI][BE] LAC21D 13000868
LAC2MU|BE1.2101|up|up|[GESTION] LAC21D HUA 5600 [ADS2]
LAC2MU|BE1.3101|up|up|[TOIP] LAC21D HUA 5600 [ADS2]
LAC2MU|BE1.3618|up|up|VPN GOLD - AGUAS CORDOBESAS S.A. - Ref:782243 - Lin:2846619 LAC21D 0/15 2-3
LAC2MU|BE1.3620|up|up|VPN GOLD - MIN ADM GESTION PUBLICA - Ref:776358 - L:2843102 - LAC21D 0/15 4-5
LAC2MU|BE1.3655|up|up|VPN - PAMI - REF:544159 - LIN:2720935 -  ACC: LAC21D 14/7
LAC2MU|BE1.3658|up|up|PRESURIZACION LA CALERA - REF:943199 - ACC:LAC21D 0/14/10
LAC2MU|BE1.3664|up|up|VPN Head Quarter - CONMEGA A.C.E. - Ref:748154 - Lin:2839346 - Acc:LAC21D 14/16-17
LAC2MU|BE1.3666|up|up|VPN Head Quarter - Min Gob Cba - Ref:575066 Lin:2763529 Acc:LAC21D 14 18
LAC2MU|BE1.3670|up|up|VPN Head Quarter - MinGobCba - Ref:559443 Lin:2758185 Acc:LAC21D 14 22/23
LAC2MU|BE1.3850|up|up|PRESURIZACION LA CALERA - REF:943199 - ACC:LAC21D 0/14/10
LAC2MU|BE1.3851|admin-down|admin-down|IntegraLight - WATCHMAN SEGURIDAD SA - Ref:604052 - Lin:2776627 Acc:LAC21D 0-14-011
LAC2MU|BE1.3854|up|up|IntegraLight - HAYQUEL ALEJANDRO A. - Ref:636468 - Lin:2789435 Acc:LAC21D 0-14-014
LAC2MU|BE1.3860|admin-down|admin-down|Integra Light 2M - SUPER CORDOBA A GRANEL S.A. - Ref:555438 Lin:2758335 Acc:LAC21D 0/14/20 4H // Inhabilitacion de Servicio
LAC2MU|BE1.3979|up|down|[ACCESO GHDSL] LAC21D
LAC2MU|BE1.4101|up|up|[DATOS] LAC21D HUA 5600 [ADS2][L3]
LAC2MU|BE2|up|up|[ACCESO HSI][BE] LH7G01 13000868
LAC2MU|BE2.3|up|up|[RTP][SIGN] LH7G01 HUA 5000 [NGN]
LAC2MU|BE2.4|up|up|[GESTION][IPMB] LH7G01 HUA 5000 [NGN]
LAC2MU|BE2.5|up|up|[GESTION][PVM] LH7G01 HUA 5000 [NGN]
LAC2MU|BE2.3101|up|up|[TOIP] LH7G01 HUA 5000 [ADS2]
LAC2MU|BE2.4101|up|up|[DATOS] LH7G01 HUA 5000 [ADS2][L3]
LAC2MU|BE3|up|up|[ACCESO HSI][BE] LACM01 
LAC2MU|BE3.2101|up|up|[GESTION] LACM01 HUA 5600_T [VDS2]
LAC2MU|BE3.3101|up|up|[TOIP] LACM01 HUA 5600_T [VDS2]
LAC2MU|BE3.4101|up|up|[DATOS] LACM01 HUA 5600_T [VDS2][L3]
LAC2MU|BE5|up|up|[ACCESO HSI][BE] 29D11C 
LAC2MU|BE5.2101|up|up|[GESTION] 29D11C HUA 5616 [VDS2]
LAC2MU|BE5.3101|up|up|[TOIP] 29D11C HUA 5616 [VDS2]
LAC2MU|BE5.4101|up|up|[DATOS] 29D11C HUA 5616 [VDS2][L3]
LAC2MU|BE6|up|up|[ACCESO HSI][BE] 3ZHG01 13001988
LAC2MU|BE6.2|up|up|[SIGN] NGN - MA5616 COMPLEJO LA CUESTA - 3ZHG01 - Linea 13001988
LAC2MU|BE6.3|up|up|[RTP] [SIGN] NGN - MA5616 COMPLEJO LA CUESTA - 3ZHG01 - Linea 13001988
LAC2MU|BE6.4|up|up|[GESTION] [SIGN] NGN - MA5616 COMPLEJO LA CUESTA - 3ZHG01 - Linea 13001988
LAC2MU|BE6.3101|up|up|[TOIP] 3ZHG01 HUA 5616 [VDS2]
LAC2MU|BE6.4101|up|up|[DATOS] 3ZHG01 HUA 5616 [VDS2][L3]
LAC2MU|BE7|up|up|[ACCESO HSI][BE] LAC31D 
LAC2MU|BE7.2101|up|up|[GESTION] LAC31D HUA 5600 [ADS2]
LAC2MU|BE7.3101|up|up|[TOIP] LAC31D HUA 5600 [ADS2]
LAC2MU|BE7.4101|up|up|[DATOS] LAC31D HUA 5600 [ADS2][L3]
LAC2MU|BE7.4101.pppoe90|up|up| 
LAC2MU|BE7.4101.pppoe126|up|up| 
LAC2MU|BE7.4101.pppoe356|up|up| 
LAC2MU|BE7.4101.pppoe362|up|up| 
LAC2MU|BE7.4101.pppoe388|up|up| 
LAC2MU|BE7.4101.pppoe619|up|up| 
LAC2MU|BE7.4101.pppoe1682|up|up| 
LAC2MU|BE7.4101.pppoe1719|up|up| 
LAC2MU|BE7.4101.pppoe1884|up|up| 
LAC2MU|BE7.4101.pppoe2020|up|up| 
LAC2MU|BE7.4101.pppoe2222|up|up| 
LAC2MU|BE7.4101.pppoe2412|up|up| 
LAC2MU|BE7.4101.pppoe2648|up|up| 
LAC2MU|BE7.4101.pppoe2793|up|up| 
LAC2MU|BE7.4101.pppoe2936|up|up| 
LAC2MU|BE7.4101.pppoe3042|up|up| 
LAC2MU|BE7.4101.pppoe3103|up|up| 
LAC2MU|BE7.4101.pppoe3180|up|up| 
LAC2MU|BE7.4101.pppoe3219|up|up| 
LAC2MU|BE7.4101.pppoe3276|up|up| 
LAC2MU|BE7.4101.pppoe3361|up|up| 
LAC2MU|BE7.4101.pppoe3376|up|up| 
LAC2MU|BE7.4101.pppoe3416|up|up| 
LAC2MU|BE7.4101.pppoe3424|up|up| 
LAC2MU|BE7.4101.pppoe3911|up|up| 
LAC2MU|BE7.4101.pppoe4396|up|up| 
LAC2MU|BE7.4101.pppoe4452|up|up| 
LAC2MU|BE7.4101.pppoe4546|up|up| 
LAC2MU|BE7.4101.pppoe4600|up|up| 
LAC2MU|BE7.4101.pppoe4879|up|up| 
LAC2MU|BE7.4101.pppoe4888|up|up| 
LAC2MU|BE7.4101.pppoe4918|up|up| 
LAC2MU|BE7.4101.pppoe5047|up|up| 
LAC2MU|BE7.4101.pppoe5051|up|up| 
LAC2MU|BE7.4101.pppoe5115|up|up| 
LAC2MU|BE7.4101.pppoe5467|up|up| 
LAC2MU|BE7.4101.pppoe5512|up|up| 
