shelfname|interface|portoperationalstate|protocol|info1
ALF2MU|BE1|up|up|[ACCESO HSI][BE] SBN11D 
ALF2MU|BE1.1028|up|up|[ACCESO GHDSL] SBN11D
ALF2MU|BE1.2101|up|up|[GESTION] SBN11D HUA 5600 [ADS2]
ALF2MU|BE1.3101|up|up|[TOIP] SBN11D HUA 5600 [ADS2]
ALF2MU|BE1.3617|up|up|### VPN Head Quarter - NUEVO BANCO DE ENTRE RIOS S.A. - Ref:6615
ALF2MU|BE1.4101|up|up|[DATOS] SBN11D HUA 5600 [ADS2][L3]
ALF2MU|BE1.4101.pppoe546|up|up| 
ALF2MU|BE1.4101.pppoe582|up|up| 
ALF2MU|BE1.4101.pppoe737|up|up| 
ALF2MU|BE1.4101.pppoe773|up|up| 
ALF2MU|BE1.4101.pppoe1053|up|up| 
ALF2MU|BE1.4101.pppoe1107|up|up| 
ALF2MU|BE1.4101.pppoe1311|up|up| 
ALF2MU|BE1.4101.pppoe2223|up|up| 
ALF2MU|BE1.4101.pppoe2429|up|up| 
ALF2MU|BE1.4101.pppoe2646|up|up| 
ALF2MU|BE1.4101.pppoe3076|up|up| 
ALF2MU|BE1.4101.pppoe3462|up|up| 
ALF2MU|BE1.4101.pppoe3466|up|up| 
ALF2MU|BE1.4101.pppoe3467|up|up| 
ALF2MU|BE1.4101.pppoe3542|up|up| 
ALF2MU|BE1.4101.pppoe3630|up|up| 
ALF2MU|BE1.4101.pppoe3992|up|up| 
ALF2MU|BE1.4101.pppoe4011|up|up| 
ALF2MU|BE1.4101.pppoe4155|up|up| 
ALF2MU|BE1.4101.pppoe4608|up|up| 
ALF2MU|BE1.4101.pppoe4627|up|up| 
ALF2MU|BE1.4101.pppoe4861|up|up| 
ALF2MU|BE1.4101.pppoe5222|up|up| 
ALF2MU|BE1.4101.pppoe5314|up|up| 
ALF2MU|BE1.4101.pppoe5340|up|up| 
ALF2MU|BE1.4101.pppoe5393|up|up| 
ALF2MU|BE1.4101.pppoe5625|up|up| 
ALF2MU|BE1.4101.pppoe5691|up|up| 
ALF2MU|BE1.4101.pppoe5865|up|up| 
ALF2MU|BE1.4101.pppoe5917|up|up| 
