shelfname|interface|portoperationalstate|protocol|info1
AVD2MU|BV150|up|up|RECRNC01 NPGEP 8/9 IFGE 1 - IuCS-CP - Linea:16200004/16200011
AVD2MU|BV151|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV180|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV181|up|up|RECRNC01 NPGEP 8/9 IFGE 1 - IuPS-CP - Linea:16200004/16200011
AVD2MU|BV240|up|up|RECRNC01 NPGEP 0/1 IFGE 0 - IuCS-UP - Linea:16200001/16200008
AVD2MU|BV248|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV800|up|up|RECRNC01 NPGEP 8/9 IFGE 0 - IuPS - Linea:16200003/16200010
AVD2MU|BV810|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV1003|up|up|A RECRNC01 SIN TELLABS Linea:19309871-2
AVD2MU|BE1|up|up|[ACCESO HSI][BE] BYGG01 NGN - L11002198
AVD2MU|BE1.2|up|up|RTP MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.3|up|up|SIGN MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.4|up|up|GESTION IPMB-MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.4101|up|up|[DATOS] BYGG01 HUA 5600_T [VDS2]
AVD2MU|BE1.4101.pppoe651|up|up| 
AVD2MU|BE1.4101.pppoe663|up|up| 
AVD2MU|BE1.4101.pppoe666|up|up| 
AVD2MU|BE1.4101.pppoe667|up|up| 
AVD2MU|BE1.4101.pppoe677|up|up| 
AVD2MU|BE1.4101.pppoe734|up|up| 
AVD2MU|BE1.4101.pppoe735|up|up| 
AVD2MU|BE1.4101.pppoe757|up|up| 
AVD2MU|BE1.4101.pppoe789|up|up| 
AVD2MU|BE1.4101.pppoe792|up|up| 
AVD2MU|BE1.4101.pppoe793|up|up| 
AVD2MU|BE1.4101.pppoe797|up|up| 
AVD2MU|BE1.4101.pppoe798|up|up| 
AVD2MU|BE1.4101.pppoe805|up|up| 
AVD2MU|BE1.4101.pppoe818|up|up| 
AVD2MU|BE1.4101.pppoe824|up|up| 
AVD2MU|BE1.4101.pppoe826|up|up| 
