shelfname|interface|portoperationalstate|protocol|info1
DAR3MU|GE0/0/0|*down|down|
DAR3MU|GE1/0/0|up|down|[ACCESO HSI][FI] DR311C
DAR3MU|GE1/0/0.2101|up|up|[GESTION] DR311C ECI HIFS [VDS2]
DAR3MU|GE1/0/0.3101|up|up|[TOIP] DR311C ECI HIFS [VDS2]
DAR3MU|GE1/0/0.4101|up|up|[DATOS] DR311C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/1|up|down|[ACCESO HSI][FI] 1NW11C
DAR3MU|GE1/0/1.2101|up|up|[GESTION] 1NW11C ECI HIFS [VDS2]
DAR3MU|GE1/0/1.3101|up|up|[TOIP] 1NW11C ECI HIFS [VDS2]
DAR3MU|GE1/0/1.4101|up|up|[DATOS] 1NW11C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/2|up|down|[ACCESO HSI][FI] 1NX11C
DAR3MU|GE1/0/2.2101|up|up|[GESTION] 1NX11C ECI HIFS [VDS2]
DAR3MU|GE1/0/2.3101|up|up|[TOIP] 1NX11C ECI HIFS [VDS2]
DAR3MU|GE1/0/2.4101|up|up|[DATOS] 1NX11C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/3|up|down|[ACCESO HSI][FI] 1NZ11C
DAR3MU|GE1/0/3.2101|up|up|[GESTION] 1NZ11C ECI HIFS [VDS2]
DAR3MU|GE1/0/3.3101|up|up|[TOIP] 1NZ11C ECI HIFS [VDS2]
DAR3MU|GE1/0/3.4101|up|up|[DATOS] 1NZ11C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/4|up|down|[ACCESO HSI][FI] 1O011C
DAR3MU|GE1/0/4.2101|up|up|[GESTION] 1O011C ECI HIFS [VDS2]
DAR3MU|GE1/0/4.3101|up|up|[TOIP] 1O011C ECI HIFS [VDS2]
DAR3MU|GE1/0/4.4101|up|up|[DATOS] 1O011C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/5|up|down|[ACCESO HSI][FI] 1O111C
DAR3MU|GE1/0/5.2101|up|up|[GESTION] 1O111C ECI HIFS [VDS2]
DAR3MU|GE1/0/5.3101|up|up|[TOIP] 1O111C ECI HIFS [VDS2]
DAR3MU|GE1/0/5.4101|up|up|[DATOS] 1O111C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/6|up|down|[ACCESO HSI][FI] 1NV11C
DAR3MU|GE1/0/6.2101|up|up|[GESTION] 1NV11C ECI HIFS [VDS2]
DAR3MU|GE1/0/6.3101|up|up|[TOIP] 1NV11C ECI HIFS [VDS2]
DAR3MU|GE1/0/6.4101|up|up|[DATOS] 1NV11C ECI HIFS [VDS2][L3]
DAR3MU|GE1/0/7|up|down|[ACCESO HSI][FI] DAR41D
DAR3MU|GE1/0/7.2101|up|up|[GESTION] DAR41D ZTE 9210 [ADS2]
DAR3MU|GE1/0/7.3101|up|up|[TOIP] DAR41D ZTE 9210 [ADS2]
DAR3MU|GE1/0/7.4101|up|up|[DATOS] DAR41D ZTE 9210 [ADS2][L3]
DAR3MU|GE1/0/8|up|down|[ACCESO HSI + NGN][FI] 3FPG01
DAR3MU|GE1/0/8.2|up|up|[SIGN] 3FPG01 HUA 5616 [NGN] - Linea 15004856
DAR3MU|GE1/0/8.3|up|up|[RTP] 3FPG01 HUA 5616 [NGN] - Linea 15004856
DAR3MU|GE1/0/8.4|up|up|[GESTION] 3FPG01 HUA 5616 [NGN] - Linea 15004856
DAR3MU|GE1/0/8.3101|up|up|[TOIP] 3FPG01 HUA 5616 [VDS2]
DAR3MU|GE1/0/8.4101|up|up|[DATOS] 3FPG01 HUA 5616 [VDS2][L3]
DAR3MU|GE1/0/9|up|down|[ACCESO HSI][FI] DARM01
DAR3MU|GE1/0/9.2101|up|up|[GESTION] DARM01 HUA 5600_T [VDS2]
DAR3MU|GE1/0/9.3101|up|up|[TOIP] DARM01 HUA 5600_T [VDS2]
DAR3MU|GE1/0/9.4101|up|up|[DATOS] DARM01 HUA 5600_T [VDS2][L3]
DAR3MU|GE1/0/10|up|down|[ACCESO HSI][FI] DARG1D
DAR3MU|GE1/0/10.2101|up|up|[GESTION] DARG1D ZTE 9210 [ADS2]
DAR3MU|GE1/0/10.3101|up|up|[TOIP] DARG1D ZTE 9210 [ADS2]
DAR3MU|GE1/0/10.4101|up|up|[DATOS] DARG1D ZTE 9210 [ADS2][L3]
DAR3MU|GE1/0/11|up|down|[ACCESO HSI][FI] DARB1D
DAR3MU|GE1/0/11.2101|up|up|[GESTION] DARB1D HUA 5600 [ADS2]
DAR3MU|GE1/0/11.3101|up|down|[TOIP] DARB1D HUA 5600 [ADS2]
DAR3MU|GE1/0/11.4101|up|up|[DATOS] DARB1D HUA 5600 [ADS2][L3]
DAR3MU|GE1/0/12|up|down|[ACCESO HSI][FI] DARC1D 15006252
DAR3MU|GE1/0/12.2101|up|up|[GESTION] DARC1D HUA 5600 [ADS2]
DAR3MU|GE1/0/12.3101|up|up|[TOIP] DARC1D HUA 5600 [ADS2]
DAR3MU|GE1/0/12.4101|up|up|[DATOS] DARC1D HUA 5600 [ADS2][L3]
DAR3MU|GE1/0/13|up|down|[ACCESO HSI][FI] DARD1D 15006253
DAR3MU|GE1/0/13.2101|up|up|[GESTION] DARD1D HUA 5600 [ADS2]
DAR3MU|GE1/0/13.3101|up|up|[TOIP] DARD1D HUA 5600 [ADS2]
DAR3MU|GE1/0/13.4101|up|up|[DATOS] DARD1D HUA 5600 [ADS2][L3]
DAR3MU|GE1/0/14|up|down|[ACCESO HSI + NGN][FI] 0D0G01
DAR3MU|GE1/0/14.2|up|up|[SIGN] 0D0G01 HUA 5616 [NGN] - Linea 15001705
DAR3MU|GE1/0/14.3|up|up|[RTP] 0D0G01 HUA 5616 [NGN] - Linea 15001705
DAR3MU|GE1/0/14.4|up|up|[GESTION] 0D0G01 HUA 5616 [NGN] - Linea 15001705
DAR3MU|GE1/0/14.4101|up|up|[DATOS] 0D0G01 HUA 5616 [ADSL][L3]
DAR3MU|GE1/0/15|up|down|[ACCESO HSI][FI] DAR21D
DAR3MU|GE1/0/15.2101|up|up|[GESTION] DAR21D HUA 5100 [ADSL]
DAR3MU|GE1/0/15.4101|up|up|[DATOS] DAR21D HUA 5100 [ADSL][L3]
DAR3MU|GE1/0/16|up|down|CONEXION AL DSLAM DAR61D ADSL + GHDSL Linea 9701608
DAR3MU|GE1/0/16.2101|up|up|[GESTION] DAR61D HUA 5600 [ADS2]
DAR3MU|GE1/0/16.3101|up|up|[TOIP] DAR61D HUA 5600 [ADS2]
DAR3MU|GE1/0/16.4101|up|up|[DATOS] DAR61D HUA 5600 [ADS2][L3]
DAR3MU|GE1/0/17|up|down|ACCESO NGN+ADSL HW EDIF AV CORRIENTES 5445-EOFG01 Linea 15002302
DAR3MU|GE1/0/17.2|up|up|SING NGN HW EDIF AV CORRIENTES 5445-EOFG01 Linea 15002302
DAR3MU|GE1/0/17.3|up|up|RTP NGN HW EDIF AV CORRIENTES 5445-EOFG01 Linea 15002302
DAR3MU|GE1/0/17.4|up|up|IPMB NGN HW EDIF AV CORRIENTES 5445-EOFG01 Linea 15002302
DAR3MU|GE1/0/17.3101|up|up|[TOIP] EOFG01 HUA 5616 [VDS2]
DAR3MU|GE1/0/17.4101|up|up|[DATOS] EOFG01 HUA 5616 [VDS2][L3]
DAR3MU|GE1/0/18|up|down|NGN + ADSL - HUAWEI 5616 - SERRANO 366-(EHGG01) - Linea 15002314
DAR3MU|GE1/0/18.2|up|up|SIGN. - NGN HUAWEI 5616 - SERRANO 366-(EHGG01) - Linea 15002314
DAR3MU|GE1/0/18.3|up|up|RTP - NGN HUAWEI 5616 - SERRANO 366-(EHGG01) - Linea 15002314
DAR3MU|GE1/0/18.4|up|up|GESTION IPMB - NGN HUAWEI 5616 - SERRANO 366-(EHGG01) - Linea 15002314
DAR3MU|GE1/0/18.3101|up|up|[TOIP] EHGG01 HUA 5616 [VDS2]
DAR3MU|GE1/0/18.4101|up|up|[DATOS] EHGG01 HUA 5616 [VDS2][L3]
DAR3MU|GE1/0/19|up|down|[TAT] Gestor Entorno SIMOR GOLF - Linea:11100078
DAR3MU|GE1/0/19.24|up|up|[TAT] Gestor Entorno SIMOR GOLF - Linea:11100078
DAR3MU|GE1/0/20|up|down|VPN - CREDICOOP LINK - REF: 595690 - LINEA: 2599983 + VPN CREDICOOP REF:195519 - LIN:2599904
DAR3MU|GE1/0/20.25|up|up|VPN - CREDICOOP LINK - REF: 595690 - LINEA: 2599983
DAR3MU|GE1/0/20.208|up|up|Gestion VPN BANCO CREDICOOP Ref:195519 Lin:2599904
DAR3MU|GE1/0/20.455|up|up|VPN - CREDICOOP - REF: 195519 - LINEA: 2599904
DAR3MU|GE1/0/21|up|down|[ACCESO HSI][FI] DARG01 9703522
DAR3MU|GE1/0/21.3|up|up|[RTP] - DARWIN  UA5000 -DARG01-[NGN] Linea 9703522
DAR3MU|GE1/0/21.4|up|up|[IPMB] - DARWIN  UA5000 -DARG01-[NGN] Linea 9703522
DAR3MU|GE1/0/21.5|up|up|[PVM] - DARWIN  UA5000 -DARG01-[NGN] Linea 9703522
DAR3MU|GE1/0/21.4101|up|up|[DATOS] DARG01 HUA 5000 [ADSL][L3]
DAR3MU|GE1/0/22|up|down|[ACCESO HSI][FI] DAR91D
DAR3MU|GE1/0/22.2101|up|up|[GESTION] DAR91D HUA 5600 [ADS2]
DAR3MU|GE1/0/22.3101|up|up|[TOIP] DAR91D HUA 5600 [ADS2]
DAR3MU|GE1/0/22.3618|up|up|VPN GOLD - CREDICOOP - Ref:269240 Lin:2723533 Acc:DAR91D 0/15/2-3
DAR3MU|GE1/0/22.3620|up|up|VPN GOLD - DIA ARG - Ref:576958 Lin:2765557 Acc:DAR91D 15/4
DAR3MU|GE1/0/22.3621|up|up|VPN Head Quarter - ITURAN - Ref:542087 Lin:2751567 Acc:DAR91D  15/5
DAR3MU|GE1/0/22.3622|up|up|VPN GOLD - BANCO CREDICOOP - Ref:195429 Lin:2705555 Acc:DAR91D 15/6
DAR3MU|GE1/0/22.3626|up|up|VPN Branch Office - Correo Argentino - Ref:304307 Lin:2740818 Acc:DAR91D 15/1
DAR3MU|GE1/0/22.3637|up|up|VPN Head Quarter - DIA ARG - Ref:538136 Lin:2750946 Acc:DAR91D 15/21
DAR3MU|GE1/0/22.3658|up|up|VPN Branch Office - DIA ARG - Ref:576961 Lin:2765585 Acc:DAR91D 14/10
DAR3MU|GE1/0/22.3661|up|up|GHDSL DAR91D - C2BELGRANO
DAR3MU|GE1/0/22.3668|up|up|Central Virtual - 3D ARGENTINA S.A. - ACCESO REF BASE 681049_CV681050
DAR3MU|GE1/0/22.3677|up|up|### VPN Head Quarter - SIMMONS DE ARGENTINA SAIC - Ref:785046 - Lin:2849962 - Acc:DAR91D 14/29 ###
DAR3MU|GE1/0/22.3680|up|up|VPN GOLD -  IMPRESORA INTERNACIONAL DE VAL - REF:880689 - Acc:DAR91D 0/13/0
DAR3MU|GE1/0/22.3681|up|up|VPN GOLD - IMPRESORA INTERNACIONAL DE VAL - REF:886266 - ACC: DAR91D_0/13/1
DAR3MU|GE1/0/22.3682|up|up|VPN GOLD - IMPRESORA INTERNACIONAL DE VAL - Ref.886284 - ACC: DAR91D_0/13/1
DAR3MU|GE1/0/22.3683|up|up|VPN GOLD -  IMPRESORA INTERNACIONAL DE VAL -REF:886261 ACC: DAR91D_0/13/3
DAR3MU|GE1/0/22.3686|up|up|VPN GOLD HSBC REFE 887866 linea 2861540 acc DAR91D 0/13/6 y 7 - Servicio
DAR3MU|GE1/0/22.3688|up|up|VPN GOLD - IMPRESORA INTERNACIONAL DE VAL - Ref:892366 - Acc:DAR91D_0/13/8
DAR3MU|GE1/0/22.3689|up|up|VPN GOLD - SIMMONS - Ref 878468 - Lin 2864454 - Acc DAR91D, 13, 9
DAR3MU|GE1/0/22.3691|up|up|VPN_VPNIMPRESOCARRANZA - IMPRESORA INTERNACIONAL DE VAL - REF: 941241 - LINEA: 2868202 - ACC: DAR91D_0/13/11
DAR3MU|GE1/0/22.3692|up|up|VPN - VPN_VPNIMPRESORACORR - REF: 776262 - LINEA: 2843085 - ACC: DAR91D 13/12
DAR3MU|GE1/0/22.3694|up|up|VPN GOLD - DIA ARGENTINA - Ref:308814 Lin:2738046 Acc:DAR91D 13/14
DAR3MU|GE1/0/22.3695|up|up|VPN Head Quarter - BNA - Ref:282755 Lin:2730817 Acc:DAR91D 13/15
DAR3MU|GE1/0/22.3696|up|up|VPN GOLD - FARMCITY SA - Ref:749550 Lin:2840121 Acc:DAR91D 13/16
DAR3MU|GE1/0/22.3698|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:308825 Lin:2738065 Acc:DAR91D 13/18
DAR3MU|GE1/0/22.3699|up|up|VPNIMPRESOSERR_Ref892361_DAR91D 13/19
DAR3MU|GE1/0/22.3703|up|up|VPN Branch Office - Gire - Ref:286474 Lin:2733327 Acc:DAR91D 13/23
DAR3MU|GE1/0/22.3829|up|up|VPN Head Quarter - DIA ARG - Ref:538136 Lin:2750946 Acc:DAR91D 15/21
DAR3MU|GE1/0/22.3836|up|up|Integra Light 2M - SIST.ELECT.DE REGIST.SA. - Ref:256295 Lin:2716229 Acc:DAR91D0-15-28Y29
DAR3MU|GE1/0/22.3856|up|up|INTERNET EMPRESAS - cliente: MATERYN EQUIPAMIENTOS S.R.L. - Ref: 672591 - Lin: 2811159 - Acc: DAR91D 14 / 16
DAR3MU|GE1/0/22.3860|up|up|Integra Light-3D ARGENTINA S.A-Ref 681049-L 2816294-DAR91D 0-14-20/21
DAR3MU|GE1/0/22.3866|up|up|Integra Light - Ref:632321 - POLICIA FEDERAL
DAR3MU|GE1/0/22.3870|up|up|Integra Light-INTEGRACOMISARIAS-Ref 632322-L2790480-DAR91D-14/30-31
DAR3MU|GE1/0/22.3878|up|up|VPN GOLD HSBC REFE 887866 linea 2861540 acc DAR91D 0/13/6 y 7 - Gestion
DAR3MU|GE1/0/22.3888|up|up|INTEGRA - - FARMCITY SA - REF: 943906 - Acc:DAR91D 13/16-17
DAR3MU|GE1/0/22.3892|up|up|Integra Light 2M - D.I.R.A.P.A. SA - Ref:254452 Lin:2715468 Acc:DAR91D 13/21
DAR3MU|GE1/0/22.3894|up|up|INTERNET EMPRESAS - DATAL S.A. - Ref:887616 Lin:2861615 Acc:DAR91D 13/22
DAR3MU|GE1/0/22.4101|up|up|[DATOS] DAR91D HUA 5600 [ADS2][L3]
DAR3MU|GE1/0/23|up|down|NGN + ADSL - 0D1G01 - Linea 15001716
DAR3MU|GE1/0/23.2|up|up|SIGN. - EDIF. AGUIRRE 170 -0D1G01- Linea 15001716
DAR3MU|GE1/0/23.3|up|up|RTP - EDIF. AGUIRRE 170 -0D1G01- Linea 15001716
