shelfname|interface|portoperationalstate|protocol|info1
ALG3MU|Eth-Trunk1|down|down|A ALG2MA
ALG3MU|Eth-Trunk1.4093|down|down|
ALG3MU|Eth-Trunk2|up|down|LAG PTN HWI 35AGR03_G6/1-G12/1
ALG3MU|Eth-Trunk2.1119|up|up|EVENTO RALLY 2017 - L2L - REF:739911 - CEN2MB ELAN_3000157603_1272
ALG3MU|Eth-Trunk2.1207|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - 2G
ALG3MU|Eth-Trunk2.1208|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - 3G
ALG3MU|Eth-Trunk2.1209|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399 - UPLINK - S1
ALG3MU|Eth-Trunk2.1210|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - S1MME
ALG3MU|Eth-Trunk2.1211|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - GOMRAN
ALG3MU|Eth-Trunk2.1212|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - NGN
ALG3MU|Eth-Trunk2.1213|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - SSPOPUSA
ALG3MU|Eth-Trunk2.1214|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - GESTION SDH
ALG3MU|Eth-Trunk2.1215|up|up|A ATN950B LA_CRUZ - LCZ1MU Gi0/1/0 - Linea 70001399  - UPLINK - DCN GESTION
ALG3MU|Eth-Trunk2.1216|up|up|Gestion ATN950B LA_CRUZ - LCZ1MU - Linea 70001399 - RE SDH+ETH ERICSSON  LA CRUZ-STA ROSA DE CALAMUCHITA
ALG3MU|Eth-Trunk2.3743|up|up|[TAT] GESTION TX - RE 25OBS01 - OBSERVATORIO CBA - Linea:70000577
ALG3MU|Eth-Trunk2.3747|up|up|GESTION - RE IP - LA BOLSA -L: 70000714
ALG3MU|Eth-Trunk2.37633|up|up|[RTP][SIGN] SRCN01 HUA 5000 [NGN]
ALG3MU|Eth-Trunk2.37634|up|up|[GESTION][IPMB] SRCN01 HUA 5000 [NGN]
ALG3MU|Eth-Trunk2.37635|up|up|[GESTION][PVM] SRCN01 HUA 5000 [NGN]
ALG3MU|Eth-Trunk2.336162|up|up|SIGN ECVG01 MA5616T EL CORCOVADO L.13005158
ALG3MU|Eth-Trunk2.336163|up|up|RTP ECVG01 MA5616T EL CORCOVADO L.13005158
ALG3MU|Eth-Trunk2.336164|up|up|GESTION ECVG01 MA5616T EL CORCOVADO L.13005158
ALG3MU|Eth-Trunk2.336212|up|up|SIGN NGN MA5616 VBNG01 CORDOBA L13001751
ALG3MU|Eth-Trunk2.336213|up|up|RTP NGN MA5616 VBNG01 CORDOBA L13001751
ALG3MU|Eth-Trunk2.336214|up|up|GEST IPMB MA5616 VBNG01 CORDOBA L13001751
ALG3MU|Eth-Trunk2.336282|*down|down|SIGN NGN CPFG01_MA5616_CERRO_L13001145
ALG3MU|Eth-Trunk2.336283|*down|down|RTP NGN - CPFG01_MA5616_CERRO_L13001145
ALG3MU|Eth-Trunk2.336284|*down|down|GESTION IPMB CPFG01_MA5616_CERRO_L13001145
ALG3MU|Eth-Trunk2.338162|*down|down|SIGNALING NGN - ZTE VILLA AMANCAY CORDOBA VMYG01-LINEA:13001845
ALG3MU|Eth-Trunk2.338163|*down|down|RTP NGN - ZTE VILLA AMANCAY CORDOBA VMYG01-LINEA:13001845
ALG3MU|Eth-Trunk2.338164|*down|down|GESTION IPMB NGN ZTE VILLA AMANCAY CORDOBA VMYG01-LINEA:13001845
ALG3MU|Eth-Trunk2.12011000|up|up|eNODOB - SAN_CLEMENTE - ALG3MU 1/0/1 - A03-S361 - (1) (694525) - S1
ALG3MU|Eth-Trunk2.12011001|up|up|eNODOB - SAN_CLEMENTE - ALG3MU 1/0/1 - A03-S361 - (2) (694525) - S1MME
ALG3MU|Eth-Trunk2.12011002|up|up|eNODOB - SAN_CLEMENTE - ALG3MU 1/0/1 - A03-S361 - (3) (694525) - GOMRAN
ALG3MU|Eth-Trunk2.12011003|up|up|NODOB - SAN_CLEMENTE - ALG3MU 1/0/1 - A03-S361 - (1) (694524) - 3G
ALG3MU|Eth-Trunk2.12011004|up|up|NODOB - SAN_CLEMENTE - ALG3MU 1/0/1 - A03-S361 - (1) (694523) - 2G
ALG3MU|Eth-Trunk2.12021000|up|up|eNODOB - POTRERO_DE_GARAY - ALG3MU 1/0/1 - A03-S285 - (1) (694522) - S1
ALG3MU|Eth-Trunk2.12021001|up|up|eNODOB - POTRERO_DE_GARAY - ALG3MU 1/0/1 - A03-S285 - (2) (694522) - S1MME
ALG3MU|Eth-Trunk2.12021002|up|up|eNODOB - POTRERO_DE_GARAY - ALG3MU 1/0/1 - A03-S285 - (3) (694522) - GOMRAN
