shelfname|interface|portoperationalstate|protocol|info1
GLF4MU|100GE3/0/0|up|up|Enlace 100G FO BEL1NA_Hu0/4/0/2 Linea:15007798 - UPLINK NA
GLF4MU|100GE3/0/1|down|down|
GLF4MU|100GE4/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/6/0/1 Linea:15007799 - UPLINK NA
GLF4MU|100GE4/0/1|down|down|
GLF4MU|100GE12/0/0|down|down|
GLF4MU|100GE13/0/0|down|down|
GLF4MU|Eth-Trunk1|up|down|PRUEBA CMTS GLF
GLF4MU|Eth-Trunk1.3014|up|up|PRUEBA CTMS GLF - DATOS
GLF4MU|Eth-Trunk1.3034|up|up|PRUEBA CTMS GLF - CONTROL
GLF4MU|Eth-Trunk1.3164|up|up|PRUEBA CTMS GLF - TOIP
GLF4MU|Eth-Trunk1.3184|up|up|PRUEBA CTMS GLF - FULL IP
GLF4MU|Eth-Trunk2|down|down|prueba Switch monitoreo
GLF4MU|Eth-Trunk3|up|down|UPLINK A JKY1MU
GLF4MU|Eth-Trunk3.2|up|up|
GLF4MU|Eth-Trunk4|down|down|CONEXION A EV91MU
GLF4MU|Eth-Trunk10|down|down|ACCESO SEGURIZADO UMG8900 GLFU0
GLF4MU|Eth-Trunk10.2|down|down|SIGN. UMG8900 GLFU0 GOLF
GLF4MU|Eth-Trunk10.3|down|down|RTP UMG8900 GLFU0 GOLF
GLF4MU|Eth-Trunk10.5|down|down|GESTION UMG8900 GLFU0 GOLF
GLF4MU|Eth-Trunk20|up|down|BBIP Backend Aseguramiento contra GRGLF gestores RED
GLF4MU|Eth-Trunk20.52|up|up|LINK al FGOLF1 vpn gris
GLF4MU|Eth-Trunk20.60|*down|down|
GLF4MU|Eth-Trunk20.9999|*down|down|PRUEBA VRRP  para gestores
GLF4MU|GE0/0/0|down|down|
GLF4MU|GE1/0/0|up|down|eNODOB MEDICINA INTEGRAL FITZ ROY - CI_443 (763261) NODOB (763260) ()
GLF4MU|GE1/0/0.1000|up|up|eNODOB - MEDICINA INTEGRAL FITZ ROY - CI_443 - (1) (763261) - S1
GLF4MU|GE1/0/0.1001|up|up|eNODOB - MEDICINA INTEGRAL FITZ ROY - CI_443 - (2) (763261) - S1MME
GLF4MU|GE1/0/0.1002|up|up|eNODOB - MEDICINA INTEGRAL FITZ ROY - CI_443 - (3) (763261) - GOMRAN
GLF4MU|GE1/0/0.1003|up|up|NODOB - MEDICINA INTEGRAL FITZ ROY - CI_443 - (1) (763260) - 3G
GLF4MU|GE1/0/1|up|down|[ACCESO HSI][VI] GLF21D - 15002412
GLF4MU|GE1/0/1.2101|up|up|[GESTION] GLF21D ZTE 9210 [ADS2]
GLF4MU|GE1/0/1.3101|up|up|[TOIP] GLF21D ZTE 9210 [ADS2]
GLF4MU|GE1/0/1.4101|up|up|[DATOS] GLF21D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/2|up|down|[ACCESO HSI][VI] GLF71D - 9701116
GLF4MU|GE1/0/2.2101|up|up|[GESTION] GLF71D HUA 5600 [ADS2]
GLF4MU|GE1/0/2.3101|up|up|[TOIP] GLF71D HUA 5600 [ADS2]
GLF4MU|GE1/0/2.3618|up|up|servicio VPN - cliente SANITY CARE INTERNACION DOMICI LIARIA S.R.L. - ref 781160
GLF4MU|GE1/0/2.3622|*down|down|VPN GOLD - FARMCITY S.A. - Ref:786524 Lin:2848745 Acc:GLF71D 0/15/06-07
GLF4MU|GE1/0/2.3624|up|up|VPN GOLD - FARMCITY S.A. - Ref:786527 Lin:2848751 Acc:GLF71D 0/15/08-09
GLF4MU|GE1/0/2.4101|up|up|[DATOS] GLF71D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/3|up|down|[ACCESO HSI][VI] GLF31D 15000871
GLF4MU|GE1/0/3.2101|up|up|[GESTION] GLF31D ZTE 9210 [ADS2]
GLF4MU|GE1/0/3.3101|up|up|[TOIP] GLF31D ZTE 9210 [ADS2]
GLF4MU|GE1/0/3.4101|up|up|[DATOS] GLF31D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/4|down|down|
GLF4MU|GE1/0/5|up|down|[ACCESO HSI][VI] GLF81D 9701117
GLF4MU|GE1/0/5.2101|up|up|[GESTION] GLF81D HUA 5600 [ADS2]
GLF4MU|GE1/0/5.3101|up|up|[TOIP] GLF81D HUA 5600 [ADS2]
GLF4MU|GE1/0/5.4101|up|up|[DATOS] GLF81D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/6|up|down|[ACCESO HSI][VI] GLFC1D 15006336
GLF4MU|GE1/0/6.2101|up|up|[GESTION] GLFC1D HUA 5600 [ADS2]
GLF4MU|GE1/0/6.4101|up|up|[DATOS] GLFC1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/7|up|down|[ACCESO HSI][VI] GLFB1D 15006337
GLF4MU|GE1/0/7.2101|up|up|[GESTION] GLFB1D HUA 5600 [ADS2]
GLF4MU|GE1/0/7.3101|up|up|[TOIP] GLFB1D HUA 5600 [ADS2]
GLF4MU|GE1/0/7.4101|up|up|[DATOS] GLFB1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/8|up|down|ACCESO GLFN01 - LINEA 15004992
GLF4MU|GE1/0/8.1|up|up|HSI GLFN01 - CLI1MB
GLF4MU|GE1/0/9|down|down|
GLF4MU|GE1/0/10|up|down|TLS - GCBA (TETRA) - Ref:739322 - Lin:2835007
GLF4MU|GE1/0/10.62|up|up|TLS - GCBA (TETRA) - Ref:739322 - Lin:2835007 - GESTION
GLF4MU|GE1/0/10.200|up|up|TLS - GCBA (TETRA) - Ref:739322 - Lin:2835007 - RET1MB ELAN_94226_1247
GLF4MU|GE1/0/10.700|up|up|VPN - GCBA (TETRA) - Ref:915519 (ASOCIADA 739322) - tetra-camara
GLF4MU|GE1/0/10.701|up|up|VPN - GCBA (TETRA) - Ref:915552 (ASOCIADA 915519 y 739322) - tetra-energia
GLF4MU|GE1/0/10.702|up|up|VPN - GCBA (TETRA) - Ref:915587 (ASOCIADA 915519 y 739322) - tetra-ccacceso
GLF4MU|GE1/0/11|up|down|[ACCESO HSI][VI] G0A11C 15001191
GLF4MU|GE1/0/11.2101|up|up|[GESTION] G0A11C ECI HIFS [VDS2]
GLF4MU|GE1/0/11.3101|up|up|[TOIP] G0A11C ECI HIFS [VDS2]
GLF4MU|GE1/0/11.4101|up|up|[DATOS] G0A11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/11.5101|up|up|[ENTORNO] G1E11C ECI HIFS [VDS2]
GLF4MU|GE1/0/12|up|down|[ACCESO HSI][VI] GLFE1D - 15006800
GLF4MU|GE1/0/12.2101|up|up|[GESTION] GLFE1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/12.3101|up|up|[TOIP] GLFE1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/12.4101|up|up|description [DATOS] GLFE1D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/13|up|down|[ACCESO HSI][VI] GLFF1D 15006801
GLF4MU|GE1/0/13.2101|up|up|[GESTION] GLFF1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/13.3101|up|up|[TOIP] GLFF1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/13.4101|up|up|[DATOS] GLFF1D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/14|up|down|[ACCESO HSI][VI] GLFG1D 15006802
GLF4MU|GE1/0/14.2101|up|up|[GESTION] GLFG1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/14.3101|up|up|[TOIP] GLFG1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/14.4101|up|up|[DATOS] GLFG1D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/15|up|down|[ACCESO HSI][VI] GLFH1D 15006803
GLF4MU|GE1/0/15.2101|up|up|[GESTION] GLFH1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/15.3101|up|up|[TOIP] GLFH1D ZTE 9210 [ADS2]
GLF4MU|GE1/0/15.4101|up|up|[DATOS] GLFH1D ZTE 9210 [ADS2][L2]
GLF4MU|GE1/0/16|up|down|[ACCESO HSI][VI] GLFL1D 15006879
GLF4MU|GE1/0/16.2101|up|up|[GESTION] GLFL1D HUA 5600 [ADS2]
GLF4MU|GE1/0/16.3101|up|up|[TOIP] GLFL1D HUA 5600 [ADS2]
GLF4MU|GE1/0/16.4101|up|up|[DATOS] GLFL1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/17|up|down|[ACCESO HSI][VI] GLFM1D 15006880
GLF4MU|GE1/0/17.2101|up|up|[GESTION] GLFM1D HUA 5600 [ADS2]
GLF4MU|GE1/0/17.3101|up|up|[TOIP] GLFM1D HUA 5600 [ADS2]
GLF4MU|GE1/0/17.4101|up|up|[DATOS] GLFM1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/0/18|up|down|[ACCESO HSI][VI] G0I11C - 15001199
GLF4MU|GE1/0/18.2101|up|up|[GESTION] G0I11C ECI HIFS [VDS2]
GLF4MU|GE1/0/18.3101|up|up|[TOIP] G0I11C ECI HIFS [VDS2]
GLF4MU|GE1/0/18.4101|up|up|[DATOS] G0I11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/19|up|down|[ACCESO HSI][VI] G0L11C - 15001202
GLF4MU|GE1/0/19.2101|up|up|[GESTION] G0L11C ECI HIFS [VDS2]
GLF4MU|GE1/0/19.3101|up|up|[TOIP] G0L11C ECI HIFS [VDS2]
GLF4MU|GE1/0/19.4101|up|up|[DATOS] G0L11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/20|up|down|[ACCESO HSI][VI] G0M11C - 15001203
GLF4MU|GE1/0/20.2101|up|up|[GESTION] G0M11C ECI HIFS [VDS2]
GLF4MU|GE1/0/20.3101|up|up|[TOIP] G0M11C ECI HIFS [VDS2]
GLF4MU|GE1/0/20.4101|up|up|[DATOS] G0M11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/21|up|down|[ACCESO HSI][VI] G0N11C - 15001204
GLF4MU|GE1/0/21.2101|up|up|[GESTION] G0N11C ECI HIFS [VDS2]
GLF4MU|GE1/0/21.3101|up|up|[TOIP] G0N11C ECI HIFS [VDS2]
GLF4MU|GE1/0/21.4101|up|up|[DATOS] G0N11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/22|up|down|[ACCESO HSI][VI] G0P11C - 15001206
GLF4MU|GE1/0/22.2101|up|up|[GESTION] G0P11C ECI HIFS [VDS2]
GLF4MU|GE1/0/22.3101|up|up|[TOIP] G0P11C ECI HIFS [VDS2]
GLF4MU|GE1/0/22.4101|up|up|[DATOS] G0P11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/0/23|up|down|[ACCESO HSI][VI] G0R11C 15001208
GLF4MU|GE1/0/23.2101|up|up|[GESTION] G0R11C ECI HIFS [VDS2]
GLF4MU|GE1/0/23.3101|up|up|[TOIP] G0R11C ECI HIFS [VDS2]
GLF4MU|GE1/0/23.4101|up|up|[DATOS] G0R11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/0|up|down|[ACCESO HSI][VI] G0T11C 15001210
GLF4MU|GE1/1/0.2101|up|up|[GESTION] G0T11C ECI HIFS [VDS2]
GLF4MU|GE1/1/0.3101|up|up|[TOIP] G0T11C ECI HIFS [VDS2]
GLF4MU|GE1/1/0.4101|up|up|[DATOS] G0T11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/1|up|down|[ACCESO HSI][VI] G0X11C 15001214
GLF4MU|GE1/1/1.2101|up|up|[GESTION] G0X11C ECI HIFS [VDS2]
GLF4MU|GE1/1/1.3101|up|up|[TOIP] G0X11C ECI HIFS [VDS2]
GLF4MU|GE1/1/1.4101|up|up|[DATOS] G0X11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/2|up|down|[ACCESO HSI][VI] G0Z11C 15001216
GLF4MU|GE1/1/2.2101|up|up|[GESTION] G0Z11C ECI HIFS [VDS2]
GLF4MU|GE1/1/2.3101|up|up|[TOIP] G0Z11C ECI HIFS [VDS2]
GLF4MU|GE1/1/2.4101|up|up|[DATOS] G0Z11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/3|up|down|[ACCESO HSI][VI] G1A11C 15001217
GLF4MU|GE1/1/3.2101|up|up|[GESTION] G1A11C ECI HIFS [VDS2]
GLF4MU|GE1/1/3.3101|up|up|[TOIP] G1A11C ECI HIFS [VDS2]
GLF4MU|GE1/1/3.4101|up|up|[DATOS] G1A11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/4|up|down|[ACCESO HSI][VI] G1H11C 1500122
GLF4MU|GE1/1/4.2101|up|up|[GESTION] G1H11C ECI HIFS [VDS2]
GLF4MU|GE1/1/4.3101|up|up|[TOIP] G1H11C ECI HIFS [VDS2]
GLF4MU|GE1/1/4.4101|up|up|[DATOS] G1H11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/5|up|down|[ACCESO HSI][VI] G1G11C 15001223
GLF4MU|GE1/1/5.2101|up|up|[GESTION] G1G11C ECI HIFS [VDS2]
GLF4MU|GE1/1/5.3101|up|up|[TOIP] G1G11C ECI HIFS [VDS2]
GLF4MU|GE1/1/5.4101|up|up|[DATOS] G1G11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/6|up|down|[ACCESO HSI][VI] G1F11C 15001222
GLF4MU|GE1/1/6.2101|up|up|[GESTION] G1F11C ECI HIFS [VDS2]
GLF4MU|GE1/1/6.3101|up|up|[TOIP] G1F11C ECI HIFS [VDS2]
GLF4MU|GE1/1/6.4101|up|up|[DATOS] G1F11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/7|up|down|[ACCESO HSI][VI] G1E11C 15001221
GLF4MU|GE1/1/7.2101|up|up|[GESTION] G1E11C ECI HIFS [VDS2]
GLF4MU|GE1/1/7.3101|up|up|[TOIP] G1E11C ECI HIFS [VDS2]
GLF4MU|GE1/1/7.4101|up|up|[DATOS] G1E11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/8|up|down|[ACCESO HSI][VI] G1C11C 15001219
GLF4MU|GE1/1/8.2101|up|up|[GESTION] G1C11C ECI HIFS [VDS2]
GLF4MU|GE1/1/8.3101|up|up|[TOIP] G1C11C ECI HIFS [VDS2]
GLF4MU|GE1/1/8.4101|up|up|[DATOS] G1C11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/9|up|down|[ACCESO HSI][VI] G1B11C 15001218
GLF4MU|GE1/1/9.2101|up|up|[GESTION] G1B11C ECI HIFS [VDS2]
GLF4MU|GE1/1/9.3101|up|up|[TOIP] G1B11C ECI HIFS [VDS2]
GLF4MU|GE1/1/9.4101|up|up|[DATOS] G1B11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/10|up|down|[ACCESO HSI][VI] G0Y11C 15001215
GLF4MU|GE1/1/10.2101|up|up|[GESTION] G0Y11C ECI HIFS [VDS2]
GLF4MU|GE1/1/10.3101|up|up|[TOIP] G0Y11C ECI HIFS [VDS2]
GLF4MU|GE1/1/10.4101|up|up|[DATOS] G0Y11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/11|up|down|[ACCESO HSI][VI] G0W11C 15001213
GLF4MU|GE1/1/11.2101|up|up|[GESTION] G0W11C ECI HIFS [VDS2]
GLF4MU|GE1/1/11.3101|up|up|[TOIP] G0W11C ECI HIFS [VDS2]
GLF4MU|GE1/1/11.4101|up|up|[DATOS] G0W11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/12|up|down|[ACCESO HSI][VI] G0U11C - 15001211
GLF4MU|GE1/1/12.2101|up|up|[GESTION] G0U11C ECI HIFS [VDS2]
GLF4MU|GE1/1/12.3101|up|up|[TOIP] G0U11C ECI HIFS [VDS2]
GLF4MU|GE1/1/12.4101|up|up|[DATOS] G0U11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/13|up|down|[ACCESO HSI][VI] G0S11C - 15001209
GLF4MU|GE1/1/13.2101|up|up|[GESTION] G0S11C ECI HIFS [VDS2]
GLF4MU|GE1/1/13.3101|up|up|[TOIP] G0S11C ECI HIFS [VDS2]
GLF4MU|GE1/1/13.4101|up|up|[DATOS] G0S11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/14|up|down|[ACCESO HSI][VI] GLFI1D 15006807
GLF4MU|GE1/1/14.2101|up|up|[GESTION] GLFI1D HUA 5600 [ADS2]
GLF4MU|GE1/1/14.3101|up|up|[TOIP] GLFI1D HUA 5600 [ADS2]
GLF4MU|GE1/1/14.4101|up|up|[DATOS] GLFI1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/1/15|up|down|[ACCESO HSI][VI] GLFJ1D 15006808
GLF4MU|GE1/1/15.2101|up|up|[GESTION] GLFJ1D HUA 5600 [ADS2]
GLF4MU|GE1/1/15.3101|up|up|[TOIP] GLFJ1D HUA 5600 [ADS2]
GLF4MU|GE1/1/15.4101|up|up|[DATOS] GLFJ1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/1/16|up|down|[ACCESO HSI][VI] GLFK1D 15006809
GLF4MU|GE1/1/16.2101|up|up|[GESTION] GLFK1D HUA 5600 [ADS2]
GLF4MU|GE1/1/16.3101|up|up|[TOIP] GLFK1D HUA 5600 [ADS2]
GLF4MU|GE1/1/16.4101|up|up|[DATOS] GLFK1D HUA 5600 [ADS2][L2]
GLF4MU|GE1/1/16.191720|up|up|[DATOS] GLFK1D HUA 5600 [ADS2][L2] CVLAN 2726
GLF4MU|GE1/1/17|up|down|[ACCESO HSI][VI] G0C11C - 15001219
GLF4MU|GE1/1/17.2101|up|up|[GESTION] G0C11C ECI HIFS [VDS2]
GLF4MU|GE1/1/17.3101|up|up|[TOIP] G0C11C ECI HIFS [VDS2]
GLF4MU|GE1/1/17.4101|up|up|[DATOS] G0C11C ECI HIFS [VDS2][L2]
GLF4MU|GE1/1/18|up|down|INTEGRA - CENTRO MEDICO FITZ ROY S.A - Ref:919759 Lin:2866148
GLF4MU|GE1/1/18.2|up|up|LAN TO LAN - MEDICINA INTEGRAL FITZ ROY SA - REF: 950119 - LINEA: 2870453 - VPLS: ELAN_3000388502_950119 - ACC: GLF4MU 1/1/18
GLF4MU|GE1/1/18.18|up|up|INTEGRA - CENTRO MEDICO FITZ ROY S.A - Ref:919759 Lin:2866148
GLF4MU|GE1/1/19|up|down|[TAT] Prueba Segurizacion Satelital - REF:15005362 - SubInter g1/1/19.1117
GLF4MU|GE1/1/19.1117|up|up|[TAT] Prueba Segurizacion Satelital - REF:15005362
GLF4MU|GE1/1/20|up|down|eNODOB NEXTEL_NICETO_VEGA - CPU702 (754517) NODOB (754516) (754515)
GLF4MU|GE1/1/20.1000|up|up|eNODOB - NEXTEL_NICETO_VEGA - CPU702 - (1) (754517) - S1
GLF4MU|GE1/1/20.1001|up|up|eNODOB - NEXTEL_NICETO_VEGA - CPU702 - (2) (754517) - S1MME
GLF4MU|GE1/1/20.1002|up|up|eNODOB - NEXTEL_NICETO_VEGA - CPU702 - (3) (754517) - GOMRAN
GLF4MU|GE1/1/20.1003|up|up|NODOB - NEXTEL_NICETO_VEGA - CPU702 - (1) (754516) - 3G
GLF4MU|GE1/1/20.1004|up|up|NODOB - NEXTEL_NICETO_VEGA - CPU702- (1) (754515) - 2G
GLF4MU|GE1/1/21|down|down|[TAT] ACCESO A ADTRAN PRUEBA - REF:50001
GLF4MU|GE1/1/21.2101|down|down|[GESTION] PBA21D ADT 1000 [ADS2]
GLF4MU|GE1/1/21.4101|down|down|[DATOS] PBA21D ADT 1000 [ADS2][L2]
GLF4MU|GE1/1/22|up|down|Conexion a GLFDCNRC1  Gi1/2 _ DCN GESTION -VPLS CORE (Linea 15003877)-VPN (Linea 15003889)
GLF4MU|GE1/1/22.937|up|up|DCN GESTION -VPLS CORE (Linea 15003877)-VPN (Linea 15003889)
GLF4MU|GE1/1/22.1045|up|up|DCN GESTION -VPLS CORE (Linea 15003877)-VPN (Linea 15003889)
GLF4MU|GE1/1/22.3256|up|up|DCN GESTION -VPLS CORE (Linea 15003877)-VPN (Linea 15003889)
GLF4MU|GE1/1/23|up|down|[UMG] CONEXION B2B NLS0 - GOLF_G1/1 (VoIP) - REF:50000
GLF4MU|GE1/1/23.3250|up|up|[UMG] B2B NLS0 - GOLF_G1/1 (VoIP) - REF:50000 - VPLS:NGN_UMGGOLF_3250 - L3:CRETIRO
GLF4MU|GE2/0/0|down|down|ENLACE PRUEBA CMTS
GLF4MU|GE2/0/1|down|down|
GLF4MU|GE2/0/2|up|down|TLS - Compania Financiera  - Ref:891350 - Lin:2862517 - ELAN_95345_891350
GLF4MU|GE2/0/2.2|up|up|TLS - Compania Financiera  - Ref:891350 - Lin:2862517 - BEL/MUN ELAN_95345_891350
GLF4MU|GE2/0/2.4|up|up|TLS - Compania Financiera  - Ref:891350 - Lin:2862517 - ELAN_95345_891350 - GESTION
GLF4MU|GE2/0/3|up|down|INTEGRA - ALIMENTOS REFRIGERADOS SOCIEDA - Ref:748176 - Lin:2839374
GLF4MU|GE2/0/3.10|up|up|INTEGRA - ALIMENTOS REFRIGERADOS SOCIEDA - Ref:748176 - Lin:2839374
GLF4MU|GE2/0/3.12|up|up|VPN - ALIMENTOS REFRIGERADOS - Ref.748175 - Linea.2839374 GLF4MU 2/0/3
GLF4MU|GE2/0/4|up|down|LAN TO LAN - TARSHOP S.A. - REF: 672171 - LINEA: 2810518 - ACC: GLF4MU 2/0/4
GLF4MU|GE2/0/4.3|up|up|GESTION LAN TO LAN - TARSHOP S.A. - REF: 672171 - LINEA: 2810518 - ACC: GLF4MU 2/0/4
GLF4MU|GE2/0/4.4|up|up|LAN TO LAN - TARSHOP S.A. - REF: 672171 - LINEA: 2810518 - ACC: GLF4MU 2/0/4
GLF4MU|GE2/0/4.3277|up|up|LAN TO LAN - TARSHOP S.A. - REF: 672171 - LINEA: 2810518 - ACC: GLF4MU 2/0/4
GLF4MU|GE2/0/5|up|down|VPN - AUTOMOVIL CLUB ARGENTINO - REF: 223003 - LINEA: 2703993 - ACC: GLF4MU 2/0/5
GLF4MU|GE2/0/5.27|up|up|VPN - AUTOMOVIL CLUB ARGENTINO - REF: 223003 - LINEA: 2703993 - ACC: GLF4MU 2/0/5
GLF4MU|GE2/0/5.28|up|up|INTEGRA - AUTOMOVIL CLUB ARGENTINO - REF: 236789 - LINEA: 2703993 - ACC: GLF4MU 2/0/5
GLF4MU|GE2/0/6|up|down|VPN - UNIMACO S.A. - REF: 724988 - LINEA: 2828290 - ACC: GLF4MU 2/0/6
GLF4MU|GE2/0/6.127|up|up|VPN - UNIMACO S.A. - REF: 724988 - LINEA: 2828290 - ACC: GLF4MU 2/0/6
GLF4MU|GE2/0/7|up|down|INTEGRA (Secundario) - ORSNA - Ref:746099
GLF4MU|GE2/0/7.105|up|up|INTEGRA (Secundario) - ORSNA - Ref:660881 - Linea:2848792
GLF4MU|GE2/0/7.106|up|up|INTEGRA (Secundario) - ORSNA - Ref:746099 - Linea:2848793
GLF4MU|GE2/0/7.197|up|up|VPN - ORSNA - Ref: 660374 - Linea: 2838496
GLF4MU|GE2/0/8|up|down|INTEGRA - CENRTRO VIDT - REF: 678449 - LINEA: 2814739 - ACC: GLF4MU
GLF4MU|GE2/0/8.85|up|up|INTEGRA - CENRTRO VIDT - REF: 678449 - LINEA: 2814739 - ACC: GLF4MU
GLF4MU|GE2/0/9|up|down|INTEGRA - ESTABLECIMIENTO SANTA ANA SA - REF: 749598 - LINEA: 2840128 - ACC: GLF4MU 2/0/9
GLF4MU|GE2/0/9.3462|up|up|INTEGRA - ESTABLECIMIENTO SANTA ANA SA - REF: 749598 - LINEA: 2840128 - ACC: GLF4MU 2/0/9
GLF4MU|GE2/0/10|up|down|VPN - YPF SA - REF: 678458 - LINEA: 2814143 - ACC: GLF4MU 2/0/10
GLF4MU|GE2/0/10.90|up|up|VPN - YPF SA - REF: 678458 - LINEA: 2814143 - ACC: GLF4MU 2/0/10
GLF4MU|GE2/0/11|up|down|INTEGRA - CIELO TALENT SRL - REF: 679743 - LINEA: 2815517 - ACC: GLF4MU 2/0/1
GLF4MU|GE2/0/11.82|up|up|INTEGRA - CIELO TALENT SRL - REF: 679743 - LINEA: 2815517 - ACC: GLF4MU 2/0/1
GLF4MU|GE2/0/12|down|down|INTEGRA - BE SINGULAR - REF: 293493 - LINEA: 2829907 - ACC: GLF4MU 2/0/12
GLF4MU|GE2/0/12.811|down|down|INTEGRA - BE SINGULAR - REF: 293493 - LINEA: 2829907 - ACC: GLF4MU 2/0/12
GLF4MU|GE2/0/13|up|down|TLS - GCBA (TETRA) - REF:921675 - LIN:2866953
GLF4MU|GE2/0/13.2|up|up|TLS - GCBA (TETRA) - REF:921675 - LIN:2866953 - GESTION
GLF4MU|GE2/0/13.200|up|up|TLS - GCBA (TETRA) - REF:921675 - LIN:2866953 - BEL1MB ELAN_94226_1247
GLF4MU|GE2/0/13.700|up|up|VPN - GCBA (TETRA) - Ref:921672 (ASOCIADA 921675) - tetra-camaras
GLF4MU|GE2/0/13.701|up|up|VPN - GCBA (TETRA) - REF:921673 (relacionada 921675) - LIN:2867089
GLF4MU|GE2/0/13.702|up|up|VPN - GCBA (TETRA) - REF:921674 (relacionada 921675) - LIN:2867088
GLF4MU|GE2/0/14|up|down|LAN TO LAN - DIAGNOSTICO MAIPU POR IMAGENESS.A. - REF: 324026 - LINEA: 2744099 - ACC: GLF4MU 2/0/14
GLF4MU|GE2/0/14.12|up|up|LAN TO LAN - DIAGNOSTICO MAIPU POR IMAGENESS.A. - REF: 324026 - LINEA: 2744099 - ACC: GLF4MU 2/0/14
GLF4MU|GE2/0/14.13|up|up|L2L - DIAGNOSTICO MAIPU POR IMAGENES S.A. - REF:324026 - LINEA:2744099 - GESTION
GLF4MU|GE2/0/15|down|down|
GLF4MU|GE2/0/16|up|down|VPN - AXION ENERGY ARGENTINA SA - REF: 719500 - LINEA: 2825726 - ACC: GLF4MU 2/0/16
GLF4MU|GE2/0/16.192|up|up|VPN - AXION ENERGY ARGENTINA SA - REF: 719500 - LINEA: 2825726 - ACC: GLF4MU 2/0/16
GLF4MU|GE2/0/17|down|down|
GLF4MU|GE2/0/18|down|down|L2L - AUTOMOVIL CLUB ARGENTINO - REF: 933076 - LINEA: 2867676 - ACC: 2/0/18
GLF4MU|GE2/0/18.2|down|down|GESTION L2L - AUTOMOVIL CLUB ARGENTINO - REF: 933076 - LINEA: 2867676 - ACC: 2/0/18
GLF4MU|GE2/0/18.5|down|down|L2L - AUTOMOVIL CLUB ARGENTINO - REF: 933076 - LINEA: 2867676 - ACC: 2/0/18
GLF4MU|GE2/0/19|down|down|
GLF4MU|GE2/0/20|down|down|
GLF4MU|GE2/0/21|down|down|
GLF4MU|GE2/0/22|down|down|
GLF4MU|GE2/0/23|down|down|
GLF4MU|GE2/1/0(100M)|up|up|GESTION_APEX
GLF4MU|GE2/1/1|up|down|VPN PLATINUM - BANCO PATAGONIA SA - REF: 883903 - LINEA: 2860026 ACC: GLF4MU 2/1/1
GLF4MU|GE2/1/1.2|up|up|VPN PLATINUM - BANCO PATAGONIA SA - REF: 883903 - LINEA: 2860026 ACC: GLF4MU 2/1/1
GLF4MU|GE2/1/2|down|down|VPN GECOMTEL GGE Guatemala - Lin:9005668 - TRZ15464 GGPT1 - GLFU1
GLF4MU|GE2/1/2.40|down|down|VPN GECOMTEL GGE Guatemala - Lin:9005668 - TRZ15464 GGPT1 - GLFU1
GLF4MU|GE2/1/3|down|down|
GLF4MU|GE2/1/4|down|down|
GLF4MU|GE2/1/5|down|down|
GLF4MU|GE2/1/6|down|down|
GLF4MU|GE2/1/7|down|down|
GLF4MU|GE2/1/8|down|down|
GLF4MU|GE2/1/9|down|down|
